03/01/2026 02:08:31 - INFO - __main__ -   ########## Repeat:0 ##########
03/01/2026 02:08:31 - INFO - utils.trainer -   ***** Running training *****
03/01/2026 02:08:31 - INFO - utils.trainer -     Num examples = 239
03/01/2026 02:08:31 - INFO - utils.trainer -     Num Epochs = 200
03/01/2026 02:08:31 - INFO - utils.trainer -     Total train batch size = 16
03/01/2026 02:08:31 - INFO - utils.trainer -     warmup steps = 400
03/01/2026 02:08:31 - INFO - utils.trainer -     Total optimization steps = 47800
03/01/2026 02:08:31 - INFO - utils.trainer -     Save steps = 200
03/01/2026 02:08:31 - INFO - root -   Parameters [normal] length [10]
03/01/2026 02:08:37 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:08:41 - INFO - utils.trainer -   AUC: 0.13993
03/01/2026 02:08:41 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:08:41 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:08:41 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:08:41 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:08:41 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:08:41 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:08:41 - INFO - utils.trainer -   Loss: 0.36551
03/01/2026 02:08:41 - INFO - utils.trainer -   Epoch: 1, Train loss: 0.74091, Test loss: 0.36551,Epoch time = 6.257s
03/01/2026 02:08:47 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:08:50 - INFO - utils.trainer -   AUC: 0.12701
03/01/2026 02:08:50 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:08:50 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:08:50 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:08:50 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:08:50 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:08:50 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:08:50 - INFO - utils.trainer -   Loss: 0.36537
03/01/2026 02:08:50 - INFO - utils.trainer -   Epoch: 2, Train loss: 0.63833, Test loss: 0.36537,Epoch time = 5.794s
03/01/2026 02:08:56 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:09:00 - INFO - utils.trainer -   AUC: 0.08604
03/01/2026 02:09:00 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:09:00 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:09:00 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:09:00 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:09:00 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:09:00 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:09:00 - INFO - utils.trainer -   Loss: 0.36544
03/01/2026 02:09:00 - INFO - utils.trainer -   Epoch: 3, Train loss: 0.55936, Test loss: 0.36544,Epoch time = 5.776s
03/01/2026 02:09:06 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:09:09 - INFO - utils.trainer -   AUC: 0.10358
03/01/2026 02:09:09 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:09:09 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:09:09 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:09:09 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:09:09 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:09:09 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:09:09 - INFO - utils.trainer -   Loss: 0.36537
03/01/2026 02:09:09 - INFO - utils.trainer -   Epoch: 4, Train loss: 0.47704, Test loss: 0.36537,Epoch time = 5.801s
03/01/2026 02:09:16 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:09:20 - INFO - utils.trainer -   AUC: 0.09513
03/01/2026 02:09:20 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:09:20 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:09:20 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:09:20 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:09:20 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:09:20 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:09:20 - INFO - utils.trainer -   Loss: 0.36549
03/01/2026 02:09:20 - INFO - utils.trainer -   Epoch: 5, Train loss: 0.40780, Test loss: 0.36549,Epoch time = 6.182s
03/01/2026 02:09:25 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:09:29 - INFO - utils.trainer -   AUC: 0.07500
03/01/2026 02:09:29 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:09:29 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:09:29 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:09:29 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:09:29 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:09:29 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:09:29 - INFO - utils.trainer -   Loss: 0.36565
03/01/2026 02:09:29 - INFO - utils.trainer -   Epoch: 6, Train loss: 0.34382, Test loss: 0.36565,Epoch time = 5.827s
03/01/2026 02:09:35 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:09:39 - INFO - utils.trainer -   AUC: 0.07634
03/01/2026 02:09:39 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:09:39 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:09:39 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:09:39 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:09:39 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:09:39 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:09:39 - INFO - utils.trainer -   Loss: 0.36546
03/01/2026 02:09:39 - INFO - utils.trainer -   Epoch: 7, Train loss: 0.31940, Test loss: 0.36546,Epoch time = 5.798s
03/01/2026 02:09:45 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:09:49 - INFO - utils.trainer -   AUC: 0.26985
03/01/2026 02:09:49 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:09:49 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:09:49 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:09:49 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:09:49 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:09:49 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:09:49 - INFO - utils.trainer -   Loss: 0.36522
03/01/2026 02:09:49 - INFO - utils.trainer -   Epoch: 8, Train loss: 0.30255, Test loss: 0.36522,Epoch time = 5.725s
03/01/2026 02:09:54 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:09:58 - INFO - utils.trainer -   AUC: 0.69569
03/01/2026 02:09:58 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:09:58 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:09:58 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:09:58 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:09:58 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:09:58 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:09:58 - INFO - utils.trainer -   Loss: 0.36501
03/01/2026 02:09:58 - INFO - utils.trainer -   Epoch: 9, Train loss: 0.26385, Test loss: 0.36501,Epoch time = 5.749s
03/01/2026 02:10:04 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:10:08 - INFO - utils.trainer -   AUC: 0.76332
03/01/2026 02:10:08 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:10:08 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:10:08 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:10:08 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:10:08 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:10:08 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:10:08 - INFO - utils.trainer -   Loss: 0.36499
03/01/2026 02:10:08 - INFO - utils.trainer -   Epoch: 10, Train loss: 0.25720, Test loss: 0.36499,Epoch time = 5.733s
03/01/2026 02:10:13 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:10:17 - INFO - utils.trainer -   AUC: 0.78544
03/01/2026 02:10:17 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:10:17 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:10:17 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:10:17 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:10:17 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:10:17 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:10:17 - INFO - utils.trainer -   Loss: 0.36496
03/01/2026 02:10:17 - INFO - utils.trainer -   Epoch: 11, Train loss: 0.25541, Test loss: 0.36496,Epoch time = 5.828s
03/01/2026 02:10:23 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:10:27 - INFO - utils.trainer -   AUC: 0.79221
03/01/2026 02:10:27 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:10:27 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:10:27 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:10:27 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:10:27 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:10:27 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:10:27 - INFO - utils.trainer -   Loss: 0.36494
03/01/2026 02:10:27 - INFO - utils.trainer -   Epoch: 12, Train loss: 0.24626, Test loss: 0.36494,Epoch time = 6.031s
03/01/2026 02:10:32 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:10:36 - INFO - utils.trainer -   AUC: 0.81810
03/01/2026 02:10:36 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:10:36 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:10:36 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:10:36 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:10:36 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:10:36 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:10:36 - INFO - utils.trainer -   Loss: 0.36492
03/01/2026 02:10:36 - INFO - utils.trainer -   Epoch: 13, Train loss: 0.24414, Test loss: 0.36492,Epoch time = 5.704s
03/01/2026 02:10:42 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:10:46 - INFO - utils.trainer -   AUC: 0.83914
03/01/2026 02:10:46 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:10:46 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:10:46 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:10:46 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:10:46 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:10:46 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:10:46 - INFO - utils.trainer -   Loss: 0.36491
03/01/2026 02:10:46 - INFO - utils.trainer -   Epoch: 14, Train loss: 0.24396, Test loss: 0.36491,Epoch time = 5.715s
03/01/2026 02:10:51 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:10:55 - INFO - utils.trainer -   AUC: 0.77454
03/01/2026 02:10:55 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:10:55 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:10:55 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:10:55 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:10:55 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:10:55 - INFO - utils.trainer -   Sensitivity: 0.00000
03/01/2026 02:10:55 - INFO - utils.trainer -   Loss: 0.36494
03/01/2026 02:10:55 - INFO - utils.trainer -   Epoch: 15, Train loss: 0.24645, Test loss: 0.36494,Epoch time = 5.729s
03/01/2026 02:11:01 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
03/01/2026 02:11:05 - INFO - utils.trainer -   AUC: 0.83184
03/01/2026 02:11:05 - INFO - utils.trainer -   Accuracy: 0.54930
03/01/2026 02:11:05 - INFO - utils.trainer -   Precision: 0.00000
03/01/2026 02:11:05 - INFO - utils.trainer -   Recall: 0.00000
03/01/2026 02:11:05 - INFO - utils.trainer -   F_score: 0.00000
03/01/2026 02:11:05 - INFO - utils.trainer -   Specificity: 1.00000
03/01/2026 02:11:05 - INFO - utils.trainer -   Sensitivity: 0.00000
