04/16/2026 21:29:03 - INFO - __main__ -   ########## Repeat:0 ##########
04/16/2026 21:29:03 - INFO - utils.trainer -   ***** Running training *****
04/16/2026 21:29:03 - INFO - utils.trainer -     Num examples = 19
04/16/2026 21:29:03 - INFO - utils.trainer -     Num Epochs = 200
04/16/2026 21:29:03 - INFO - utils.trainer -     Total train batch size = 16
04/16/2026 21:29:03 - INFO - utils.trainer -     warmup steps = 400
04/16/2026 21:29:03 - INFO - utils.trainer -     Total optimization steps = 3800
04/16/2026 21:29:03 - INFO - utils.trainer -     Save steps = 200
04/16/2026 21:29:03 - INFO - root -   Parameters [normal] length [27]
04/16/2026 21:29:06 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
04/16/2026 21:29:09 - INFO - utils.trainer -   AUC: 0.54819
04/16/2026 21:29:09 - INFO - utils.trainer -   Accuracy: 0.28025
04/16/2026 21:29:09 - INFO - utils.trainer -   Precision: 0.07006
04/16/2026 21:29:09 - INFO - utils.trainer -   Recall: 0.25000
04/16/2026 21:29:09 - INFO - utils.trainer -   F_score: 0.10945
04/16/2026 21:29:09 - INFO - utils.trainer -   Loss: 21.72448
04/16/2026 21:29:09 - INFO - utils.trainer -    Train loss: 22.20406, Test loss: 21.72448,Epoch time = 2.957s
04/16/2026 21:29:09 - INFO - utils.trainer -   Saving model checkpoint to output_dir/ALTER
04/16/2026 21:29:11 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
04/16/2026 21:29:13 - INFO - utils.trainer -   AUC: 0.55455
04/16/2026 21:29:13 - INFO - utils.trainer -   Accuracy: 0.28025
04/16/2026 21:29:13 - INFO - utils.trainer -   Precision: 0.07006
04/16/2026 21:29:13 - INFO - utils.trainer -   Recall: 0.25000
04/16/2026 21:29:13 - INFO - utils.trainer -   F_score: 0.10945
04/16/2026 21:29:13 - INFO - utils.trainer -   Loss: 21.72371
04/16/2026 21:29:13 - INFO - utils.trainer -    Train loss: 22.17780, Test loss: 21.72371,Epoch time = 2.916s
04/16/2026 21:29:13 - INFO - utils.trainer -   Saving model checkpoint to output_dir/ALTER
04/16/2026 21:29:17 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
04/16/2026 21:29:19 - INFO - utils.trainer -   AUC: 0.60670
04/16/2026 21:29:19 - INFO - utils.trainer -   Accuracy: 0.28025
