06/25/2026 20:36:46 - INFO - __main__ -   ########## Repeat:0 ##########
06/25/2026 20:36:46 - INFO - utils.trainer -   ***** Running training *****
06/25/2026 20:36:46 - INFO - utils.trainer -     Num examples = 19
06/25/2026 20:36:46 - INFO - utils.trainer -     Num Epochs = 200
06/25/2026 20:36:46 - INFO - utils.trainer -     Total train batch size = 16
06/25/2026 20:36:46 - INFO - utils.trainer -     warmup steps = 400
06/25/2026 20:36:46 - INFO - utils.trainer -     Total optimization steps = 3800
06/25/2026 20:36:46 - INFO - utils.trainer -     Save steps = 200
06/25/2026 20:36:46 - INFO - root -   Parameters [normal] length [10]
06/25/2026 20:36:48 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
06/25/2026 20:36:49 - INFO - utils.trainer -   AUC: 0.54718
06/25/2026 20:36:49 - INFO - utils.trainer -   Accuracy: 0.24204
06/25/2026 20:36:49 - INFO - utils.trainer -   Precision: 0.06051
06/25/2026 20:36:49 - INFO - utils.trainer -   Recall: 0.25000
06/25/2026 20:36:49 - INFO - utils.trainer -   F_score: 0.09744
06/25/2026 20:36:49 - INFO - utils.trainer -   Loss: 0.96250
06/25/2026 20:36:49 - INFO - utils.trainer -   Saving model checkpoint to output_dir/GCDGCN
06/25/2026 20:36:49 - INFO - utils.trainer -   Epoch: 1, Train loss: 2.19785, Test loss: 0.96250,Epoch time = 2.163s
06/25/2026 20:36:51 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
06/25/2026 20:36:52 - INFO - utils.trainer -   AUC: 0.53646
06/25/2026 20:36:52 - INFO - utils.trainer -   Accuracy: 0.24204
06/25/2026 20:36:52 - INFO - utils.trainer -   Precision: 0.06051
06/25/2026 20:36:52 - INFO - utils.trainer -   Recall: 0.25000
06/25/2026 20:36:52 - INFO - utils.trainer -   F_score: 0.09744
06/25/2026 20:36:52 - INFO - utils.trainer -   Loss: 0.96251
06/25/2026 20:36:52 - INFO - utils.trainer -   Saving model checkpoint to output_dir/GCDGCN
06/25/2026 20:36:52 - INFO - utils.trainer -   Epoch: 2, Train loss: 1.93770, Test loss: 0.96251,Epoch time = 1.852s
06/25/2026 20:36:54 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
06/25/2026 20:36:56 - INFO - utils.trainer -   AUC: 0.45932
06/25/2026 20:36:56 - INFO - utils.trainer -   Accuracy: 0.24204
06/25/2026 20:36:56 - INFO - utils.trainer -   Precision: 0.06051
06/25/2026 20:36:56 - INFO - utils.trainer -   Recall: 0.25000
06/25/2026 20:36:56 - INFO - utils.trainer -   F_score: 0.09744
06/25/2026 20:36:56 - INFO - utils.trainer -   Loss: 0.96250
06/25/2026 20:36:56 - INFO - utils.trainer -   Saving model checkpoint to output_dir/GCDGCN
06/25/2026 20:36:56 - INFO - utils.trainer -   Epoch: 3, Train loss: 1.83239, Test loss: 0.96250,Epoch time = 1.829s
06/25/2026 20:36:57 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
06/25/2026 20:36:59 - INFO - utils.trainer -   AUC: 0.56272
06/25/2026 20:36:59 - INFO - utils.trainer -   Accuracy: 0.24204
06/25/2026 20:36:59 - INFO - utils.trainer -   Precision: 0.06051
06/25/2026 20:36:59 - INFO - utils.trainer -   Recall: 0.25000
06/25/2026 20:36:59 - INFO - utils.trainer -   F_score: 0.09744
06/25/2026 20:36:59 - INFO - utils.trainer -   Loss: 0.96250
06/25/2026 20:36:59 - INFO - utils.trainer -   Saving model checkpoint to output_dir/GCDGCN
06/25/2026 20:36:59 - INFO - utils.trainer -   Epoch: 4, Train loss: 1.84342, Test loss: 0.96250,Epoch time = 1.852s
06/25/2026 20:37:01 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
06/25/2026 20:37:02 - INFO - utils.trainer -   AUC: 0.54658
06/25/2026 20:37:02 - INFO - utils.trainer -   Accuracy: 0.24204
06/25/2026 20:37:02 - INFO - utils.trainer -   Precision: 0.06051
06/25/2026 20:37:02 - INFO - utils.trainer -   Recall: 0.25000
06/25/2026 20:37:02 - INFO - utils.trainer -   F_score: 0.09744
06/25/2026 20:37:02 - INFO - utils.trainer -   Loss: 0.96250
06/25/2026 20:37:02 - INFO - utils.trainer -   Saving model checkpoint to output_dir/GCDGCN
06/25/2026 20:37:02 - INFO - utils.trainer -   Epoch: 5, Train loss: 1.80314, Test loss: 0.96250,Epoch time = 1.866s
06/25/2026 20:37:04 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
06/25/2026 20:37:05 - INFO - utils.trainer -   AUC: 0.56710
06/25/2026 20:37:05 - INFO - utils.trainer -   Accuracy: 0.24204
06/25/2026 20:37:05 - INFO - utils.trainer -   Precision: 0.06051
06/25/2026 20:37:05 - INFO - utils.trainer -   Recall: 0.25000
06/25/2026 20:37:05 - INFO - utils.trainer -   F_score: 0.09744
06/25/2026 20:37:05 - INFO - utils.trainer -   Loss: 0.96250
06/25/2026 20:37:05 - INFO - utils.trainer -   Saving model checkpoint to output_dir/GCDGCN
06/25/2026 20:37:05 - INFO - utils.trainer -   Epoch: 6, Train loss: 1.94869, Test loss: 0.96250,Epoch time = 1.844s
06/25/2026 20:37:07 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
06/25/2026 20:37:08 - INFO - utils.trainer -   AUC: 0.51446
06/25/2026 20:37:08 - INFO - utils.trainer -   Accuracy: 0.24204
06/25/2026 20:37:08 - INFO - utils.trainer -   Precision: 0.06051
06/25/2026 20:37:08 - INFO - utils.trainer -   Recall: 0.25000
06/25/2026 20:37:08 - INFO - utils.trainer -   F_score: 0.09744
06/25/2026 20:37:08 - INFO - utils.trainer -   Loss: 0.96250
06/25/2026 20:37:08 - INFO - utils.trainer -   Saving model checkpoint to output_dir/GCDGCN
06/25/2026 20:37:08 - INFO - utils.trainer -   Epoch: 7, Train loss: 2.03028, Test loss: 0.96250,Epoch time = 1.855s
06/25/2026 20:37:10 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
